FS_PERM_SEC_ID,ENTITY_NAME,FF_MKT_VAL_CURR,FF_CURR_PS_CF,FF_PBK_SECS_CURR,FF_PE_SECS_CURR,DATE,FF_SALES,FF_NET_INCOME,FF_ASSETS,FF_DFD_TAX_ITC,FF_DEBT,FF_EPS_REPORTED,FF_EQ_TOT,FF_EPS_BASIC,FF_COGS,FF_CAPEX
HKS27K-S-US,CHOICEONE FINANCIAL SERVICES INC,94.1031,2.58920800696258,1.30403,15.2072,20171231,28.944,6.168,646.544,,27.416,1.6952,76.55,1.7048,,1.656
T1N9J9-S-US,1ST SOURCE CORP,1458.45,4.90186789909494,1.97015,19.2363,20171231,309.696,67.531,5915.351,2.67,343.419,2.6,718.537,2.6,,51.447
WHQNFK-S-US,AAR CORP,1612.28,3.60103626943005,1.75654,107.059,20170531,1767.6,56,1552.5,37.2,157.3,1.64,914.2,1.6519,1493.7,33.6
RK3780-S-US,AARONS INC,3182.1,32.9473661385452,1.8233,11.2745,20171231,3383.708,292.536,2692.264,211.003,368.798,4.06,1728.004,4.13,1790.137,57.973
Q1KJQ2-S-US,ABBOTT LABORATORIES,114361,2.74185912536576,3.64217,128.964,20171231,27390,468,76250,2006,27924,0.27,31098,0.269,14266,1135
D68LVD-S-US,AMERIS BANCORP,2323.29,1.55795499989476,1.69376,28.4302,20171231,395.483,73.548,7870.341,-28.32,366.742,1.98,804.479,2,,3.76
DF3N8D-S-US,ABIOMED INC,16923.2,5.0683438809163,24.2695,105.338,20170331,445.304,52.116,550.414,-33.94,16.338,1.17,452.071,1.21,70.627,50.415
L7GJB9-S-US,ABM INDUSTRIES INC,2045.89,1.45416932858751,1.42386,23.1772,20171031,5453.6,3.8,4046.4,57.3,1190.8,0.07,1375.7,0.0659,4912.7,57.2
FFRVN7-S-US,ABRAXAS PETROLEUM CORP,396.441,0.39789400379415,3.35471,31.6069,20171231,86.264,16.006,273.806,,87.616,0.1,106.308,0.1,48.651,108.236
VC4T6Q-S,ACE HARDWARE CORP,,41.9646758866827,,,20171231,5388.4,146.6,1895.1,-7.1,222,,560.9,,4634.1,64.6
PLZ1VJ-S-US,ACETO CORP,98.8295,0.51055606080291,0.486735,,20170630,638.318,11.376,1038.185,-12.128,353.666,0.35,405.067,0.35,509.946,5.252
HBYJT1-S-US,ACMAT CORP,26.3373,0.79271238786605,0.746426,87.35,20171231,3.701283,0.316292,66.551395,-0.051221,4.927115,0.37,29.967373,0.37,,0.005843
K3DSPF-S-US,ACME UNITED CORP,74.9028,2.53627534084173,1.48349,21.9802,20171231,130.550349,4.052479,114.729806,-0.509646,47.428126,1.09,49.937993,1.21,82.651076,7.146194
P46QMB-S-US,ACNB CORP,239.326,2.75578917459866,1.52725,16.1137,20171231,65.934,9.788,1601.28,-2.739,131.508,1.5,153.966,1.5,,1.757
B7YWWQ-S-US,ACXIOM CORP,3140.98,2.0719857192751,4.21978,140.103,20170331,880.247,4.108,1234.538,48.113,229.06,0.05,738.98,0.05,477.686,63.351
G5L7T3-S-US,ADAMS RESOURCES & ENERGY INC,172.094,3.52062588904694,1.16798,113.333,20171231,1322.086,-0.482,282.704,3.363,1.689,-0.11,147.119,-0.11,1310.851,2.644
DJH8TL-S-US,ADOBE SYSTEMS INC,124022,5.30432154359223,14.2687,58.3594,20171130,7268.653,1693.954,14839.705,279.941,1881.421,3.38,8459.869,3.43,1087.053,208.04
T0NKXG-S-US,ADVANCED MICRO DEVICES INC,17923.2,0.51478113033144,25.0586,59.4343,20171231,5329,43,3540,0,1395,0.04,611,0.0452,3506,113
RS264P-S-US,HERON THERAPEUTICS INC,2565.92,-2.38582452536837,28.5601,,20171231,30.767,-197.484,234.307,,28.684,-3.65,131.136,-3.65,4.588,2.553
X32LJH-S-US,DIVERSICARE HEALTHCARE SERVICES INC,43.2985,2.4686095179042,6.88774,,20171231,574.794,-4.827,167.569,-15.154,87.668,-0.77,6.462,-0.77,534.776,9.73
MQ5VMK-S,AEP GENERATING CO,,74285,,,20171231,359.959,271.458,743.392,30.131,189.762,,270.962,,325.945,61.459
KNLSBR-S,VOYA RETIREMENT INSURANCE & ANNUITY CO,,17363.6363636364,,,20171231,2240,210,108230,187,850,,3581,,,0
PJNLKG-S-US,AFLAC INC,35840.4,6.33586039788267,1.5059,7.57561,20171231,21813,4604,142476,4569,5289,5.77,24598,5.815,,0
TG8ZJW-S-US,AGCO CORP,4975.23,7.02791048529042,1.62938,22.7455,20171231,8306.5,186.4,7971.7,18.3,1713.5,2.32,3095.3,2.34,6598.4,203.9
B4K9HM-S-CA,AGRIUM INC,,12.5323772913056,,,20171231,17874.8973175307,402.383136187242,22480.4289,486.1446,6609.31125,2.9075,7678.0776,2.9158,13766.6952980706,894.328970429064
P7M7WC-S-US,AIR PRODUCTS & CHEMICALS INC,35074.8,12.7280272903061,3.34492,23.2351,20170930,8187.6,1219.9,18467.2,603.9,3962.8,13.65,10185.5,5.5959,5753.4,1039.7
F5YW44-S-US,AK STEEL HOLDING CORP,1419.8,0.69125738482213,49.6141,,20171231,6080.5,6.2,4296.1,-58.9,2110.1,0.02,129.2,0.02,5609.4,152.5
GRS8JF-S-US,AKORN INC,2333.39,-0.05707407673115,2.79903,,20171231,841.045,-24.55,1909.511,36.883,815.195,-0.2,831.245,-0.2,469.341,95.37
VZ4CQ1-S,SPIRE ALABAMA INC,,71.8540890402484,,,20170930,400.5,58.1,1643,-185.6,417.7,,867.4,,264.8,113.9
B2H6CL-S,ALABAMA POWER CO,,69.4883340155546,,,20171231,6039,866,23864,4715,7628,,7120,,3941,1882
FLFZFF-S-US,ALASKA AIR GROUP INC,7737.21,10.8600370117853,2.15341,9.37314,20171231,7933,1034,11307,454,2569,8.35,3721,8.39,5618,1026
M3RBH2-S-US,ALBANY INTERNATIONAL CORP,2087.15,3.6110941000865,3.52742,68.883,20171231,863.717,33.111,1361.198,-59.075,516.181,1.03,573.015,1.03,570.637,87.637
C8SHKM-S-US,ALBEMARLE CORP,10257.8,2.98364074645866,2.69902,78.4831,20171231,3071.976,54.85,7750.772,345.281,1837.372,0.49,3817.696,0.4945,1944.796,317.703
P46K95-S-US,ALEXANDERS INC,1864.36,18.8870178186802,5.98966,40.5622,20171231,230.574,80.509,1632.395,,1240.222,15.74,343.955,15.74,122.432,0
K7ZRFN-S-US,ALICO INC,256.271,2.21028321380819,1.57116,,20170930,129.829,-9.451,419.182,27.108,184.709,-1.14,165.369,-1.14,111.553,13.353
MVM6GB-S-US,ALLEGHANY CORP,9831.16,14.8088293001962,1.17963,32.9058,20171231,6439.926,90.1,25764.117,-136.489,1484.897,5.85,8620.593,5.85,,0
BLM0MN-S,ALLEGHENY GENERATING CO,,10224.526600541,,,20171231,22.811,18.178,450.702,85.79,131.986,,151.782,,8.758,1.201
CZH6KY-S-US,REGENERX BIOPHARMACEUTICALS INC,26.3201,-0.01083699022877,,,20171231,0.056652,0.286487,0.227073,,0.634855,0,-4.116292,0.0027,,0
XKV56X-S-US,SKYWORKS SOLUTIONS INC,17112.5,7.46276161848678,4.20807,19.2762,20170930,3651.4,1010.2,4573.6,-66.5,0,5.41,4065.7,5.48,1837.2,315.4
M09YL7-S-US,INNOVATIVE FOOD HOLDINGS INC,26.0298,0.15574104422422,2.94997,5.91398,20171231,41.244717,4.529262,12.019823,,1.212865,0.151,8.554539,0.152,27.619026,0.049845
WKT4G3-S-US,AMBAC FINANCIAL GROUP INC,942.452,1.36508426718433,0.510801,9.32287,20171231,549.848,-328.715,23449.081,33.659,13152.24,-7.25,1645.258,-7.25,,0
PQCHZH-S-US,HESS CORP,19869.3,6.03961453244708,1.89032,,20171231,5407,-4074,23112,408,6977,-13.12,12354,-13.12,6177,1937
QNWXWL-S-US,AMERCO,7485.55,51.2210322317421,2.19598,9.45887,20170331,3421.767,398.424,9597.406,835.009,3262.88,20.34,2619.744,20.34,2663.487,1419.505
MHKHZV-S,AMERICAN AIRLINES INC,,5270000,,,20171231,42195,1922,60012,-682,23294,,14594,,30515,5881
P6L7VB-S-US,AMERICAN BILTRITE INC,17.1316,350.986852233889,0.47568,3.67596,20171231,200.53,4.963,118.611,,3.768,152.52,36.959,152.82,144.785,4.284
BZSY96-S-US,US ECOLOGY INC,1413.45,4.22009940267202,4.27972,23.0179,20171231,504.042,49.365,815.733,57.583,277,2.25,324.077,2.27,350.915,36.24
SW3WLF-S-US,AMERICAN ELECTRIC POWER CO INC,35087,9.8209902339867,2.02768,18.2513,20171231,15370.4,1912.6,68233.7,6813.9,23109.7,3.88,18313.6,3.89,10912.6,5799.3
